computer_name,os_version,windows_build_number,logged_user,bios_vendor,bios_version,mac_address,city,state,country,latitude,longitude
WIN7TEST,Windows 7,6.1.7601,null,Phoenix Technologies LTD,6.00,00:50:56:B0:78:AF,None,None,None,None,None
PRD00989,Windows 10,10.0.19042,kiyota_yoko,LENOVO,EHCN33WW,34:C9:3D:A8:E6:E8,None,California,United States,37.4560916,-122.1862859
sakamoto-xps-125,Windows 10,10.0.19041,SakamotoJ,Dell Inc.,1.19.2,9C:B6:D0:F8:1F:11,Cambridge,Massachusetts,United States,42.3953097,-71.1466465
PRD00904,Windows 10,10.0.19042,satoa,LENOVO,N2HET39W (1.22 ),94:E6:F7:07:93:1A,Burbank,California,United States,34.1773416,-118.3373497
ijaz-win10-vm,Windows 10,10.0.19042,jcarter,"VMware, Inc.",VMW71.00V.14410784.B64.190815001,00:0C:29:A5:B5:A6,None,None,None,None,None
PRD00988,Windows 10,10.0.19042,amy_yu,LENOVO,N2QET38W(1.32 ),00:2B:67:47:32:D9,Fremont,California,United States,37.5265135,-121.927309
PRD00990,Windows 10,10.0.19042,geisheimert,LENOVO,N2QET38W(1.32 ),00:2B:67:BD:90:6C,Lower Southampton Township,Pennsylvania,United States,40.1506304,-75.0026752
barrett-xps-362,Windows 10,10.0.19042,null,Dell Inc.,1.6.1,00:10:74:18:1C:FF,Marlborough,Massachusetts,United States,42.3203233,-71.585936
spare-xeon-080,Windows 10,10.0.19043,jaycarter,American Megatrends Inc.,1009,00:26:18:63:75:04,None,None,None,None,None
CBRULE-XPS-113,Windows 10,10.0.19042,cbrule,Dell Inc.,01.01.19,48:E2:44:F6:24:FF,None,Massachusetts,United States,42.3716943,-71.21731799999999
spare-insp-116,Windows 10,10.0.19042,64bit,Dell Inc.,1.21.0,08:D4:0C:EA:55:29,None,Massachusetts,United States,42.3717357,-71.2172913
amir-xps15-369,Windows 10,10.0.19042,arahafrooz,Dell Inc.,1.7.1,38:14:28:A3:BE:AB,None,Maryland,United States,39.11613090000001,-77.1719918
parker3-127,Windows 10,10.0.19041,null,Dell Inc.,A10,98:90:96:DB:AE:F0,None,None,None,None,None
sche-xps-346,Windows 10,10.0.17763,sche,Dell Inc.,1.17.1,9C:B6:D0:C2:B0:B1,None,Massachusetts,United States,42.3314442,-71.618513
maymandi-xps-371,Windows 10,10.0.19042,mmaymandi,Dell Inc.,1.7.1,38:14:28:A3:BE:95,Marlborough,Massachusetts,United States,42.3203191,-71.5859572
mcdonald-xps-372,Windows 10,10.0.19042,jcarter,Dell Inc.,1.7.1,38:14:28:A3:BE:94,Marlborough,Massachusetts,United States,42.3203049,-71.58576599999999
liu-xps15-120,Windows 10,10.0.18363,monkey,Dell Inc.,1.19.2,9C:B6:D0:DD:2F:D1,None,Massachusetts,United States,42.515939499999995,-71.4312917
